sci.name,date,lat,lon,life.stage,bathy,SST,SSS,common.name
Caretta caretta,2012-06-18,19.68182,61.95661,Juvenile,3559,27.02,36.34,Loggerhead
Caretta caretta,2011-12-24,6.51238,59.29233,Juvenile,3861,28.55,35.74,Loggerhead
Chelonia mydas,2019-07-21,24.635,53.041,NA,2,27.91,38.67,Green
Chelonia mydas,2016-08-26,24.107,52.48,NA,2,27.79,38.08,Green
Chelonia mydas,2016-11-29,24.836,54.343,NA,23,28.2,38.9,Green
Chelonia mydas,2018-03-22,24.46,53.065,NA,8,27.96,38.64,Green
Caretta caretta,2011-02-08,15.66749,54.45763,Juvenile,2828,26.94,36.1,Loggerhead
Chelonia mydas,2018-03-27,24.633,53.058,NA,2,27.91,38.67,Green
Chelonia mydas,2016-08-20,24.619,53.045,NA,2,27.91,38.67,Green
Chelonia mydas,2017-05-15,24.442,52.934,NA,11,27.92,38.61,Green
Chelonia mydas,2018-05-15,24.628,53.058,NA,2,27.91,38.67,Green
Chelonia mydas,2019-06-05,24.669,53.078,NA,6,27.91,38.69,Green
Chelonia mydas,2016-08-28,24.271,53.562,NA,6,28.02,38.74,Green
Chelonia mydas,2016-09-10,24.615,53.301,NA,2,27.98,38.74,Green
Chelonia mydas,2017-01-08,24.588,54.427,NA,5,28.11,38.94,Green
Chelonia mydas,2017-07-28,24.641,53.056,NA,2,27.91,38.67,Green
Chelonia mydas,2016-10-23,25.745,55.857,NA,3,NA,NA,Green
Caretta caretta,2012-05-23,16.17531,55.66468,Juvenile,3195,26.8,36.1,Loggerhead
Chelonia mydas,2016-11-17,24.633,53.043,NA,2,27.91,38.67,Green
Caretta caretta,2012-06-11,19.424,61.0837,Juvenile,3602,26.93,36.28,Loggerhead
Chelonia mydas,2018-04-18,24.564,53.146,NA,6,27.94,38.67,Green
Caretta caretta,2011-05-21,15.94221,55.5636,Juvenile,3207,26.89,36.1,Loggerhead
Chelonia mydas,2016-10-08,25.733,55.817,NA,3,28.19,38.72,Green
Caretta caretta,2012-04-07,14.90874,55.66011,Juvenile,2110,27.05,36.09,Loggerhead
Caretta caretta,2011-01-04,4.51312,59.88411,Juvenile,4012,28.92,35.58,Loggerhead
Chelonia mydas,2019-06-23,24.653,53.051,NA,2,27.91,38.67,Green
Chelonia mydas,2016-10-15,24.087,53.663,NA,27,27.97,38.76,Green
Caretta caretta,2011-03-02,14.47694,52.81514,Juvenile,1596,26.96,36.04,Loggerhead
Caretta caretta,2011-03-27,16.4566,54.1607,Juvenile,2134,26.77,36.07,Loggerhead
Chelonia mydas,2016-05-25,24.629,53.039,NA,2,27.91,38.67,Green
Chelonia mydas,2017-04-15,24.579,54.448,NA,4,28.09,38.96,Green
Chelonia mydas,2018-11-07,22.572,59.686,NA,45,27.08,36.67,Green
Chelonia mydas,2018-03-28,24.624,53.06,NA,2,27.91,38.67,Green
Caretta caretta,2011-12-17,3.07652,57.28966,Juvenile,4294,28.71,35.44,Loggerhead
Chelonia mydas,2017-08-30,25.097,53.82,NA,29,28.11,38.66,Green
Caretta caretta,2011-04-14,16.04665,55.14021,Juvenile,3042,26.86,36.1,Loggerhead
Caretta caretta,2011-03-08,14.34473,52.3914,Juvenile,1745,27.1,36.04,Loggerhead
Chelonia mydas,2016-12-24,20.571,58.953,NA,14,25.98,36.1,Green
Chelonia mydas,2017-02-04,24.566,54.42,NA,5,28.09,38.96,Green
Caretta caretta,2011-03-10,13.85452,56.26956,Juvenile,3230,26.83,36.1,Loggerhead
Caretta caretta,2011-12-28,5.29831,48.51203,Juvenile,9,26.58,35.38,Loggerhead
Caretta caretta,2010-12-23,0.06758,56.24011,Juvenile,4593,28.66,35.35,Loggerhead
Caretta caretta,2012-04-17,15.52296,55.71112,Juvenile,3018,26.97,36.09,Loggerhead
Caretta caretta,2011-02-15,16.39066,53.07909,Juvenile,1828,26.77,36.07,Loggerhead
Chelonia mydas,2017-05-29,24.665,53.001,NA,11,27.91,38.67,Green
Caretta caretta,2011-12-26,7.0036,59.44642,Juvenile,3665,28.46,35.77,Loggerhead
Chelonia mydas,2017-02-14,24.727,54.417,NA,12,28.12,38.95,Green
Caretta caretta,2011-06-16,2.2095,58.07575,Juvenile,4715,28.87,35.38,Loggerhead
Caretta caretta,2012-01-02,9.01798,57.93832,Juvenile,3488,27.77,35.89,Loggerhead
Caretta caretta,2011-12-04,1.20273,54.69745,Juvenile,4896,28.42,35.36,Loggerhead
Chelonia mydas,2016-11-21,21.721,59.496,NA,18,NA,NA,Green
Chelonia mydas,2019-01-22,22.003,59.676,NA,9,26.22,36.42,Green
Chelonia mydas,2018-05-29,24.644,53.103,NA,3,27.93,38.71,Green
Chelonia mydas,2018-06-29,22.419,60.05,NA,2022,26.62,36.59,Green
